MUS-PIANO,Piano,Piano,false,?,false,?,?,?,?,?
MUS-SAXOPHONE,Saxophone,Saxophone,false,?,false,?,?,?,?,?
MUS-SINGER-VOCAL,Singing/vocal,Singing/vocal,false,?,false,?,?,?,?,?
MUS-TROMBONE,Trombone,Trombone,false,?,false,?,?,?,?,?
MUS-TRUMPET,Trumpet,Trumpet,false,?,false,?,?,?,?,?
MUS-VIOLIN,Violin,Violin,false,?,false,?,?,?,?,?
OFF-ACCOUNTANT,Accountant,Accountant,false,?,false,?,?,?,?,?
OFF-ADMIN-ASSISS,Administrative Assistant,Administrative Assistant,false,?,false,?,?,?,?,?
OFF-ADMINISTRAT,Administrator,Administrator,false,?,false,?,?,?,?,?
OFF-BANKING,Banking,Banking,false,?,false,?,?,?,?,?
OFF-BOOKKEEPER,Accounting/Bookkeeping,Accounting/Bookkeeping,false,?,false,?,?,?,?,?
OFF-BUSINESS-MAN,Business Manager,Business Manager,false,?,false,?,?,?,?,?
OFF-CIVIL-SERVAN,Civil Servant,Civil Servant,false,?,false,?,?,?,?,?
OFF-CLERK,Office/Clerical Work,Office/Clerical Work,false,?,false,?,?,?,?,?
OFF-COMP-DATA,Data Entry,Data Entry,false,?,false,?,?,?,?,?
OFF-COMP-MANAGER,Computer Manager,Computer Manager,false,?,false,?,?,?,?,?
OFF-COMP-OPERATI,Computer Operations,Computer Operations,false,?,false,?,?,?,?,?
OFF-COMP-OTHER,Other Computer Related,Other Computer Related,false,?,false,?,?,?,?,?
OFF-COMP-PROGRAM,Programmer/Analyst,Programmer/Analyst,false,?,false,?,?,?,?,?
OFF-COMP-REPAIR,Computer Repair Technician,Computer Repair Technician,false,?,false,?,?,?,?,?
OFF-DT-PUBLISHER,Desktop Publisher,Desktop Publisher,false,?,false,?,?,?,?,?
OFF-FIN-DEVELOP,Financial Development,Financial Development,false,?,false,?,?,?,?,?
OFF-FIN-MANAGER,Financial Manager,Financial Manager,false,?,false,?,?,?,?,?
OFF-GEN-NO-COMP,General Office Not Using Computers,General Office Not Using Computers,false,?,false,?,?,?,?,?
OFF-GENERAL-COMP,General Office using Computers,General Office using Computers,false,?,false,?,?,?,?,?
OFF-MARKETING,Marketing/Advertising,Marketing/Advertising,false,?,false,?,?,?,?,?
OFF-OM-REPRESENT,OM Representative,OM Representative,false,?,false,?,?,?,?,?
OFF-OPERAT-MANAG,Operations Manager,Operations Manager,false,?,false,?,?,?,?,?
OFF-OTHER-OFFICE,Other admin/office skills,Other admin/office skills,false,?,false,?,?,?,?,?
OFF-OTHER-PR,Other Public Relations,Other Public Relations,false,?,false,?,?,?,?,?
OFF-PERS-MANAGER,Personnel Manager,Personnel Manager,false,?,false,?,?,?,?,?
OFF-PUBL-RELATIO,Public Relations,Public Relations,false,?,false,?,?,?,?,?
OFF-RECEPTIONIST,Receptionist,Receptionist,false,?,false,?,?,?,?,?
OFF-RETAIL-MANAG,Retail Management,Retail Management,false,?,false,?,?,?,?,?
OFF-SECRETARY,Secretary,Secretary,false,?,false,?,?,?,?,?
OFF-SOLICITOR,Solicitor,Solicitor,false,?,false,?,?,?,?,?
OFF-TELEPHONIST,Telephonist,Telephonist,false,?,false,?,?,?,?,?
OFF-TRAVEL-COOR,Travel Coordinator,Travel Coordinator,false,?,false,?,?,?,?,?
OFF-TYPIST-WP,Typist/Word Processor,Typist/Word Processor,false,?,false,?,?,?,?,?
PEO-CARE-ASSISST,Care Assisstant,Care Assisstant,false,?,false,?,?,?,?,?
PEO-CHILD-CARE,Child-care worker,Child-care worker,false,?,false,?,?,?,?,?
PEO-COMM-DEVELOP,Community Development,Community Development,false,?,false,?,?,?,?,?
PEO-COUNSELLOR,Counsellor,Counsellor,false,?,false,?,?,?,?,?
PEO-DENTIST,Dentist,Dentist,false,?,false,?,?,?,?,?
PEO-DIETICIAN,Nutritionist/Dietician,Nutritionist/Dietician,false,?,false,?,?,?,?,?
PEO-DISCIPLER,Discipler,Discipler,false,?,false,?,?,?,?,?
PEO-EMER-RELIEF,Emergency Relief Work,Emergency Relief Work,false,?,false,?,?,?,?,?
PEO-ENVIR-HEALTH,Environmental Health Officer,Environmental Health Officer,false,?,false,?,?,?,?,?
PEO-FIRST-AIDER,First Aider,First Aider,false,?,false,?,?,?,?,?
PEO-MEDIC-ASSIST,Medical Assistant,Medical Assistant,false,?,false,?,?,?,?,?
PEO-MEDIC-AUX,Auxiliary Nurse,Auxiliary Nurse,false,?,false,?,?,?,?,?
PEO-MEDIC-DOCTOR,Doctor,Doctor,false,?,false,?,?,?,?,?
PEO-MEDIC-NURSE,Nurse,Nurse,false,?,false,?,?,?,?,?
PEO-OTHER,Other people-related skills,Other people-related skills,false,?,false,?,?,?,?,?
PEO-OTHER-HEALTH,Other Health Related,Other Health Related,false,?,false,?,?,?,?,?
PEO-OTHER-SOCIAL,Other Social Services,Other Social Services,false,?,false,?,?,?,?,?
PEO-PARAMEDIC,Emergency Medical/Paramedic,Emergency Medical/Paramedic,false,?,false,?,?,?,?,?
PEO-PERS-ADMIN,Personnel administrator,Personnel administrator,false,?,false,?,?,?,?,?
PEO-PHYSIOTHERAP,Physiotherapist,Physiotherapist,false,?,false,?,?,?,?,?
PEO-PSYCH-NURSE,Psychiatric Nurse,Psychiatric Nurse,false,?,false,?,?,?,?,?
PEO-PSYCHOLOGIST,Psychologist/Psychiatrist,Psychologist/Psychiatrist,false,?,false,?,?,?,?,?
PEO-SALES-PERSON,Salesperson,Salesperson,false,?,false,?,?,?,?,?
PEO-SOCIAL-WORK,Social worker,Social worker,false,?,false,?,?,?,?,?
PEO-STUDENT,Student,Student,false,?,false,?,?,?,?,?
PEO-TEACH-BIBLE,Bible College/Seminary Lecturer,Bible College/Seminary Lecturer,false,?,false,?,?,?,?,?
PEO-TEACH-ELEMEN,Elementary Teacher,Elementary Teacher,false,?,false,?,?,?,?,?
PEO-TEACH-INFANT,Early Childhood Educator,Early Childhood Educator,false,?,false,?,?,?,?,?
PEO-TEACH-OTHER,Other Teaching/Education,Other Teaching/Education,false,?,false,?,?,?,?,?
PEO-TEACH-SECOND,Secondary Teacher,Secondary Teacher,false,?,false,?,?,?,?,?
PEO-TEACH-STUDEN,Student Teacher,Student Teacher,false,?,false,?,?,?,?,?
PEO-TEACH-TEE,Theological Education by Ext,Theological Education by Ext,false,?,false,?,?,?,?,?
PEO-TEACH-TEFL,T.E.F.L. Teacher,T.E.F.L. Teacher,false,?,false,?,?,?,?,?
PEO-TEACH-TESL,Teacher English as 2nd Language,Teacher English as 2nd Language,false,?,false,?,?,?,?,?
PEO-TEACH-UNIV,University/College Teacher/Professor,University/College Teacher/Professor,false,?,false,?,?,?,?,?
PEO-TRAINER,Trainer,Trainer,false,?,false,?,?,?,?,?
PEO-TRANSLATOR,Interpreter/Translator,Interpreter/Translator,false,?,false,?,?,?,?,?
PRAC-AIRCON-HEAT,Heating/ventilation/air conditioning,Heating/ventilation/air conditioning,false,?,false,?,?,?,?,?
PRAC-ARCHITECT,Architect/Quantity Surveyor,Architect/Quantity Surveyor,false,?,false,?,?,?,?,?
PRAC-BRICKLAYER,Bricklayer/mason,Bricklayer/mason,false,?,false,?,?,?,?,?
PRAC-BUILDER,Builder/contractor,Builder/contractor,false,?,false,?,?,?,?,?
PRAC-BUS-DRIVER,Bus Driver,Bus Driver,false,?,false,?,?,?,?,?
PRAC-BUS-DRV-LIC,Bus driver (licensed),Bus driver (licensed),false,?,false,?,?,?,?,?
PRAC-CAPTAIN,Captain (certification obtained),Captain (certification obtained),false,?,false,?,?,?,?,?
PRAC-CARPENTER,Carpenter,Carpenter,false,?,false,?,?,?,?,?
PRAC-CHEF,Chef,Chef,false,?,false,?,?,?,?,?
PRAC-COOK-BAKER,Cook/baker,Cook/baker,false,?,false,?,?,?,?,?
PRAC-COOK-CERT,Cook (certification obtained),Cook (certification obtained),false,?,false,?,?,?,?,?
PRAC-CUSTODIAN,Custodian,Custodian,false,?,false,?,?,?,?,?
PRAC-DECK-CERT,Deck Hand (certification obtained),Deck Hand (certification obtained),false,?,false,?,?,?,?,?
PRAC-DECK-HAND,Deck Hand (unlicensed),Deck Hand (unlicensed),false,?,false,?,?,?,?,?
PRAC-DECK-OFFICE,Deck Officer (certification obtained),Deck Officer (certification obtained),false,?,false,?,?,?,?,?
PRAC-DELIVERY,Delivery Person (Inc. Milkman),Delivery Person (Inc. Milkman),false,?,false,?,?,?,?,?
PRAC-DRIVER,Driver,Driver,false,?,false,?,?,?,?,?
PRAC-ELEC-REPAIR,Electrical repairer,Electrical repairer,false,?,false,?,?,?,?,?
PRAC-ELEC-WORKER,Electrical worker,Electrical worker,false,?,false,?,?,?,?,?
PRAC-ELECTRICIAN,Electrician (certification obtained),Electrician (certification obtained),false,?,false,?,?,?,?,?
PRAC-ELECTRO-REP,Electronic repair,Electronic repair,false,?,false,?,?,?,?,?
PRAC-ENG-CHEM,Chemical Engineer,Chemical Engineer,false,?,false,?,?,?,?,?
PRAC-ENG-CIVIL,Civil Engineer,Civil Engineer,false,?,false,?,?,?,?,?
PRAC-ENG-ELEC,Electrical Engineer,Electrical Engineer,false,?,false,?,?,?,?,?
PRAC-ENG-INDSTRY,Industrial Engineer,Industrial Engineer,false,?,false,?,?,?,?,?
PRAC-ENG-MECH,Mechanical Engineer,Mechanical Engineer,false,?,false,?,?,?,?,?
PRAC-ENG-MINE,Mining Engineer,Mining Engineer,false,?,false,?,?,?,?,?
PRAC-ENG-OFFICER,Engineering Officer (certification obtained),Engineering Officer (certification obtained),false,?,false,?,?,?,?,?
PRAC-ENG-TELECOM,Telecommunications Engineer,Telecommunications Engineer,false,?,false,?,?,?,?,?
PRAC-FACTORY-WRK,Factory Worker,Factory Worker,false,?,false,?,?,?,?,?
