OFF-COMP-PROGRAM,Programmer/Analyst,true,false,?,?,?,?,?
OFF-COMP-REPAIR,Computer Repair Technician,true,false,?,?,?,?,?
OFF-DT-PUBLISHER,Desktop Publisher,true,false,?,?,?,?,?
OFF-FIN-DEVELOP,Financial Development,true,false,?,?,?,?,?
OFF-FIN-MANAGER,Financial Manager,true,false,?,?,?,?,?
OFF-GEN-NO-COMP,General Office Not Using Computers,true,false,?,?,?,?,?
OFF-GENERAL-COMP,General Office using Computers,true,false,?,?,?,?,?
OFF-MARKETING,Marketing/Advertising,true,false,?,?,?,?,?
OFF-OM-REPRESENT,OM Representative,true,false,?,?,?,?,?
OFF-OPERAT-MANAG,Operations Manager,true,false,?,?,?,?,?
OFF-OTHER-OFFICE,Other admin/office skills,true,false,?,?,?,?,?
OFF-OTHER-PR,Other Public Relations,true,false,?,?,?,?,?
OFF-PERS-MANAGER,Personnel Manager,true,false,?,?,?,?,?
OFF-PUBL-RELATIO,Public Relations,true,false,?,?,?,?,?
OFF-RECEPTIONIST,Receptionist,true,false,?,?,?,?,?
OFF-RETAIL-MANAG,Retail Management,true,false,?,?,?,?,?
OFF-SECRETARY,Secretary,true,false,?,?,?,?,?
OFF-SOLICITOR,Solicitor,true,false,?,?,?,?,?
OFF-TELEPHONIST,Telephonist,true,false,?,?,?,?,?
OFF-TRAVEL-COOR,Travel Coordinator,true,false,?,?,?,?,?
OFF-TYPIST-WP,Typist/Word Processor,true,false,?,?,?,?,?
OTHER,UNKNOWN IMPORT,true,true,?,?,?,?,?
PEO-CARE-ASSISST,Care Assisstant,true,false,?,?,?,?,?
PEO-CHILD-CARE,Child-care worker,true,false,?,?,?,?,?
PEO-COMM-DEVELOP,Community Development,true,false,?,?,?,?,?
PEO-COUNSELLOR,Counsellor,true,false,?,?,?,?,?
PEO-DENTIST,Dentist,true,false,?,?,?,?,?
PEO-DIETICIAN,Nutritionist/Dietician,true,false,?,?,?,?,?
PEO-DISCIPLER,Discipler,true,false,?,?,?,?,?
PEO-EMER-RELIEF,Emergency Relief Work,true,false,?,?,?,?,?
PEO-ENVIR-HEALTH,Environmental Health Officer,true,false,?,?,?,?,?
PEO-FIRST-AIDER,First Aider,true,false,?,?,?,?,?
PEO-MEDIC-ASSIST,Medical Assistant,true,false,?,?,?,?,?
PEO-MEDIC-AUX,Auxiliary Nurse,true,false,?,?,?,?,?
PEO-MEDIC-DOCTOR,Doctor,true,false,?,?,?,?,?
PEO-MEDIC-NURSE,Nurse,true,false,?,?,?,?,?
PEO-OTHER,Other people-related skills,true,false,?,?,?,?,?
PEO-OTHER-HEALTH,Other Health Related,true,false,?,?,?,?,?
PEO-OTHER-SOCIAL,Other Social Services,true,false,?,?,?,?,?
PEO-PARAMEDIC,Emergency Medical/Paramedic,true,false,?,?,?,?,?
PEO-PERS-ADMIN,Personnel administrator,true,false,?,?,?,?,?
PEO-PHYSIOTHERAP,Physiotherapist,true,false,?,?,?,?,?
PEO-PSYCH-NURSE,Psychiatric Nurse,true,false,?,?,?,?,?
PEO-PSYCHOLOGIST,Psychologist/Psychiatrist,true,false,?,?,?,?,?
PEO-SALES-PERSON,Salesperson,true,false,?,?,?,?,?
PEO-SOCIAL-WORK,Social worker,true,false,?,?,?,?,?
PEO-STUDENT,Student,true,false,?,?,?,?,?
PEO-TEACH-BIBLE,Bible College/Seminary Lecturer,true,false,?,?,?,?,?
PEO-TEACH-ELEMEN,Elementary Teacher,true,false,?,?,?,?,?
PEO-TEACH-INFANT,Early Childhood Educator,true,false,?,?,?,?,?
PEO-TEACH-OTHER,Other Teaching/Education,true,false,?,?,?,?,?
PEO-TEACH-SECOND,Secondary Teacher,true,false,?,?,?,?,?
PEO-TEACH-STUDEN,Student Teacher,true,false,?,?,?,?,?
PEO-TEACH-TEE,Theological Education by Ext,true,false,?,?,?,?,?
PEO-TEACH-TEFL,Teacher of English as Foreign Language,true,false,?,?,?,?,?
PEO-TEACH-TESL,Teacher of English as 2nd Language,true,false,?,?,?,?,?
PEO-TEACH-UNIV,University/College Teacher/Professor,true,false,?,?,?,?,?
PEO-TRAINER,Trainer,true,false,?,?,?,?,?
PEO-TRANSLATOR,Interpreter/Translator,true,false,?,?,?,?,?
PRAC-AIRCON-HEAT,Heating/ventilation/air conditioning,true,false,?,?,?,?,?
PRAC-ARCHITECT,Architect/Quantity Surveyor,true,false,?,?,?,?,?
PRAC-BRICKLAYER,Bricklayer/mason,true,false,?,?,?,?,?
PRAC-BUILDER,Builder/contractor,true,false,?,?,?,?,?
PRAC-BUS-DRIVER,Bus Driver,true,false,?,?,?,?,?
PRAC-BUS-DRV-LIC,Bus driver (licensed),true,false,?,?,?,?,?
PRAC-CAPTAIN,Captain (certification obtained),true,false,?,?,?,?,?
PRAC-CARPENTER,Carpenter,true,false,?,?,?,?,?
PRAC-CHEF,Chef,true,false,?,?,?,?,?
PRAC-COOK-BAKER,Cook/baker,true,false,?,?,?,?,?
PRAC-COOK-CERT,Cook (certification obtained),true,false,?,?,?,?,?
PRAC-CUSTODIAN,Custodian,true,false,?,?,?,?,?
PRAC-DECK-CERT,Deck Hand (certification obtained),true,false,?,?,?,?,?
PRAC-DECK-HAND,Deck Hand (unlicensed),true,false,?,?,?,?,?
PRAC-DECK-OFFICE,Deck Officer (certification obtained),true,false,?,?,?,?,?
PRAC-DELIVERY,Delivery Person (Inc. Milkman),true,false,?,?,?,?,?
PRAC-DRIVER,Driver,true,false,?,?,?,?,?
PRAC-ELEC-REPAIR,Electrical repairer,true,false,?,?,?,?,?
