2000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
3000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
4000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
5000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
6000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
7000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
8000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
9000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
10000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
12000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
15000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
16000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
17000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
18000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
19000000,LEDGER,?,?,19980918,SYSADMIN,?,?,?
20000000,LEDGER,?,?,20000403,SYSADMIN,?,?,?
21000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
22000000,LEDGER,?,?,20040915,sysadmin,?,?,?
23000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
24000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
25000000,LEDGER,?,?,20000726,SYSADMIN,?,?,?
26000000,LEDGER,?,?,20000726,SYSADMIN,?,?,?
27000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
28000000,LEDGER,?,?,20090316,sysadmin,?,?,?
29000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
30000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
31000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
32000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
33000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
34000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
35000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
36000000,LEDGER,?,?,20040915,SYSADMIN,?,?,?
37000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
38000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
39000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
40000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
41000000,LEDGER,?,?,19980101,SYSADMIN,?,?,?
