0,BANK ACCOUNT,A normal bank account,?,?,?,?,?,?
1,CREDIT CARD,"A Credit Card (any type, eg Visa, Mastercard ...)",?,?,?,?,?,?
2,SAVINGS ACCOUNT,A savings bank account,?,?,?,?,?,?
