NLG,Dutch Guilder,NLG,NL,"->>>,>>>,>>>,>>9.99",true,?,?,?,?,?
NOK,Norwegian Krone,NOK,NO,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
NPR,Nepalese Rupee,NPR,NP,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
NZD,New Zealand Dollar,NZ$,NZ,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
PEN,Peruvian Neuvo Sol,PES,PE,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
PGK,Papua New Guinea Kina,PGK,PG,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
PHP,Philippine Peso,PHP,PH,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
PKR,Pakistani Rupee,PKR,PK,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
PLZ,Polish Zloty,PLZ,PL,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
PTE,Portuguese Escudo,PTE,PT,"->>>>,>>>,>>>,>>9.9",true,?,?,?,?,?
PYG,Paraguayan Guarani,PYG,PY,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
ROL,Romanian Leu,ROL,RO,"->>,>>>,>>>,>>>,>>9",false,?,?,?,?,?
RON,Romanian New Lei,RON,RO,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
RUR,Russian Ruble,RUR,RU,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
SCR,Seychelles Rupee,SCR,SC,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
SDD,Sudanese Dinar,SDD,SD,"->>,>>>,>>>,>>>,>>9",false,?,?,?,?,?
SEK,Swedish Krona,SEK,SE,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
SGD,Singapore Dollar,SG$,SG,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
SKK,Slovakian Koruna,SKK,SK,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
SYP,Syrian Pound,SYP,SY,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
THB,Thai Baht,THB,TH,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
TND,Tunisian Dinar,TND,TN,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
TRL,Turkish Lira,TRL,TR,"->>,>>>,>>>,>>>,>>9",false,?,?,?,?,?
TWD,Taiwan Dollar,TW$,TW,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
UAH,Ukrainian Hryvna,UAH,UA,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
UAK,Ukraine Karbovanet,UAK,UA,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
USD,United States Dollar,US$,US,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
UYP,Uruguayan Peso,UYU,UY,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
YTL,New Turkish Lira,YTL,TR,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
ZAR,South African Rand,ZAR,ZA,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
ZWD,Zimbabwe Dollar,ZW$,ZW,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
