AIR,by airplane,false,?,false,?,?,?,?,?
BUS,by bus/coach,false,?,false,?,?,?,?,?
CAR,by car,false,?,false,?,?,?,?,?
RLY,by train,false,?,false,?,?,?,?,?
VAN,in van,false,?,false,?,?,?,?,?
WALK,on foot,false,?,false,?,?,?,?,?
